2015-09-12 02:15:01	Temp=24.40*C	 Temp=75.92*f	Humidity=50.10%
2015-09-12 03:15:01	Temp=24.10*C	 Temp=75.38*f	Humidity=58.90%
2015-09-12 04:15:01	Temp=24.10*C	 Temp=75.38*f	Humidity=62.60%
2015-09-12 05:15:01	Temp=23.60*C	 Temp=74.48*f	Humidity=62.50%
2015-09-12 06:15:01	Temp=23.60*C	 Temp=74.48*f	Humidity=64.00%
2015-09-12 07:15:01	Temp=23.50*C	 Temp=74.30*f	Humidity=61.30%
2015-09-12 08:15:02	Temp=23.50*C	 Temp=74.30*f	Humidity=62.60%
2015-09-12 09:15:02	Temp=23.50*C	 Temp=74.30*f	Humidity=64.90%
2015-09-12 10:15:01	Temp=23.30*C	 Temp=73.94*f	Humidity=67.50%
2015-09-12 11:15:01	Temp=23.30*C	 Temp=73.94*f	Humidity=67.00%
2015-09-12 12:15:01	Temp=23.50*C	 Temp=74.30*f	Humidity=69.40%
2015-09-12 13:15:01	Temp=23.50*C	 Temp=74.30*f	Humidity=66.10%
2015-09-12 14:15:01	Temp=24.50*C	 Temp=76.10*f	Humidity=66.10%
2015-09-12 15:15:02	Temp=24.90*C	 Temp=76.82*f	Humidity=62.10%
2015-09-12 16:15:02	Temp=24.70*C	 Temp=76.46*f	Humidity=55.60%
2015-09-12 17:15:02	Temp=24.60*C	 Temp=76.28*f	Humidity=55.20%
2015-09-12 18:15:02	Temp=24.40*C	 Temp=75.92*f	Humidity=56.10%
2015-09-12 19:15:02	Temp=25.40*C	 Temp=77.72*f	Humidity=59.00%
2015-09-12 20:15:02	Temp=25.10*C	 Temp=77.18*f	Humidity=51.20%
2015-09-12 21:15:02	Temp=24.60*C	 Temp=76.28*f	Humidity=53.00%
2015-09-12 22:15:02	Temp=24.20*C	 Temp=75.56*f	Humidity=57.20%
2015-09-13 00:15:02	Temp=25.30*C	 Temp=77.54*f	Humidity=64.70%
2015-09-13 01:15:02	Temp=25.10*C	 Temp=77.18*f	Humidity=62.90%
2015-09-13 02:15:01	Temp=24.10*C	 Temp=75.38*f	Humidity=61.40%
2015-09-13 03:15:02	Temp=23.40*C	 Temp=74.12*f	Humidity=60.60%
2015-09-13 04:15:01	Temp=23.20*C	 Temp=73.76*f	Humidity=57.90%
2015-09-13 05:15:02	Temp=22.80*C	 Temp=73.04*f	Humidity=67.60%
2015-09-13 06:15:02	Temp=22.70*C	 Temp=72.86*f	Humidity=65.70%
2015-09-13 07:15:01	Temp=23.00*C	 Temp=73.40*f	Humidity=70.60%
2015-09-13 08:15:01	Temp=22.80*C	 Temp=73.04*f	Humidity=67.80%
2015-09-13 09:15:01	Temp=23.00*C	 Temp=73.40*f	Humidity=71.20%
2015-09-13 10:15:01	Temp=22.80*C	 Temp=73.04*f	Humidity=67.30%
2015-09-13 11:15:02	Temp=23.00*C	 Temp=73.40*f	Humidity=72.40%
2015-09-13 12:15:02	Temp=22.80*C	 Temp=73.04*f	Humidity=69.50%
2015-09-13 13:15:01	Temp=23.00*C	 Temp=73.40*f	Humidity=69.80%
2015-09-13 14:15:02	Temp=23.30*C	 Temp=73.94*f	Humidity=70.10%
2015-09-13 15:15:02	Temp=23.80*C	 Temp=74.84*f	Humidity=68.00%
2015-09-13 16:15:02	Temp=24.20*C	 Temp=75.56*f	Humidity=66.80%
2015-09-13 17:15:02	Temp=23.80*C	 Temp=74.84*f	Humidity=61.30%
2015-09-13 18:15:03	Temp=24.10*C	 Temp=75.38*f	Humidity=62.60%
2015-09-13 19:15:02	Temp=24.20*C	 Temp=75.56*f	Humidity=64.40%
2015-09-13 20:15:02	Temp=24.20*C	 Temp=75.56*f	Humidity=65.40%
2015-09-13 21:15:02	Temp=24.80*C	 Temp=76.64*f	Humidity=64.70%
2015-09-13 22:15:02	Temp=24.00*C	 Temp=75.20*f	Humidity=65.90%
2015-09-13 23:15:02	Temp=23.80*C	 Temp=74.84*f	Humidity=64.60%
2015-09-14 00:15:02	Temp=23.70*C	 Temp=74.66*f	Humidity=65.60%
2015-09-14 01:15:01	Temp=23.80*C	 Temp=74.84*f	Humidity=66.70%
2015-09-14 02:15:02	Temp=23.80*C	 Temp=74.84*f	Humidity=63.30%
2015-09-14 03:15:02	Temp=23.70*C	 Temp=74.66*f	Humidity=69.70%
2015-09-14 04:15:02	Temp=23.20*C	 Temp=73.76*f	Humidity=66.60%
